Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
7.0000000000e+000,8.7661842979e+000,4.8682183783e+000,7.7825385274e+000,2.1411374694e+000,1.2425384856e+001,8.4564415326e+000,1.8881815929e+001,6.9309809597e+000,1.4193209224e+001,2.5958137175e+001,1.2273304064e+001,8.7168904177e+000,4.5309240905e-001,1.8152480046e+001
7.5000000000e+000,1.2087839962e+001,6.1556092991e+000,5.4821829602e+000,2.7590611101e+000,8.7157402543e+000,8.8478315515e+000,1.6744282430e+001,5.0823508312e+000,1.0110581420e+001,2.2764813882e+001,1.3478880922e+001,9.4741848457e+000,5.3535505269e-001,2.5814805906e+001
8.0000000000e+000,1.0595582312e+001,3.2024432094e+000,5.9327034830e+000,1.9391457989e+000,7.1018062074e+000,9.9763270700e+000,2.2146513802e+001,4.1090615839e+000,8.6676634858e+000,1.5701250878e+001,9.1061089733e+000,8.9907704784e+000,6.8627605529e-001,2.5883567407e+001
8.5000000000e+000,8.6242428382e+000,2.4539734737e+000,3.3672411507e+000,1.1097870552e+000,7.7809805068e+000,7.2091819288e+000,1.0600185689e+001,4.5956404782e+000,6.1652980641e+000,7.4860286576e+000,5.4622880783e+000,6.7580629733e+000,7.3253278125e-001,1.0439106890e+001
9.0000000000e+000,4.5436965253e+000,2.4803616787e+000,4.1012743803e+000,1.3288234159e+000,7.3270474567e+000,6.1572604711e+000,8.3540558979e+000,3.3406985603e+000,5.2088245326e+000,9.0293797904e+000,5.5878487793e+000,6.7543984163e+000,4.7644743334e-001,1.0908677734e+001
9.5000000000e+000,5.7461606700e+000,3.0908465442e+000,4.1321414808e+000,2.0685208598e+000,6.3612229467e+000,8.8830986820e+000,1.1078137565e+001,5.3228338031e+000,1.0018406064e+001,7.4430329305e+000,4.4675192625e+000,8.0826069356e+000,9.4896794634e-001,2.0915748708e+001
1.0000000000e+001,8.2484966083e+000,2.9319811593e+000,5.5014411402e+000,1.8587673768e+000,4.9760687997e+000,9.8313919387e+000,7.9927304054e+000,3.5800724593e+000,9.0691957755e+000,8.5899725120e+000,5.4088939104e+000,6.6956958912e+000,5.0462363637e-001,2.4770804000e+001
1.0500000000e+001,7.1108441914e+000,3.0578064439e+000,4.8825859086e+000,3.4049788481e+000,7.4454933469e+000,9.6712328636e+000,1.0336347242e+001,4.4547408548e+000,1.0705926815e+001,9.4080356066e+000,5.9784502364e+000,4.8828957060e+000,7.5473886834e-001,1.1806153542e+001
1.1000000000e+001,7.1804480216e+000,2.8327696711e+000,5.0453175161e+000,2.0214933584e+000,8.5749979627e+000,1.1711931699e+001,1.3672966236e+001,3.2483714275e+000,5.3899110572e+000,7.0630816378e+000,6.1691800748e+000,5.7872116736e+000,5.6829041713e-001,1.2011622850e+001
1.1500000000e+001,7.8811611828e+000,2.4897716987e+000,5.9228610953e+000,2.4138376309e+000,6.4489023303e+000,1.2394359088e+001,1.3128234224e+001,3.6867903031e+000,7.5551159361e+000,7.9276433369e+000,5.3687259104e+000,5.5281482395e+000,5.0002023153e-001,1.1626743775e+001
